ItemSetID,INVOICE_NO,ITEM_ID
136,1616070136/79213726,14921004
137,1616070137/79213727,15351065|15455981|15455982
138,1616070138,15554042
139,1616070139,15554042
140,1616070140,15554042
141,1616070141,15245997|15436258
142,1616070142,15471069
143,1616070143,15471068
144,1616070144,15471068|15547003
145,1616070145,15436266
146,1616070146,15436255|15436256|15589015
147,1616070147,15436263
148,1616070148,15383026|15436253
149,1616070149,15436267
150,1616070150,15436266
151,1616070151,15383026|15436271
152,1616070152,15554042
153,1616070153,15554042
154,1616070154,15554042
155,1616070155,15554042
156,1616070156,15471068
157,1616070157,15436267
158,1616070158,15471068
159,1616070159,15436253|15471068
160,1616070160,15471068
161,1616070161,15436253|15436270|15471068
162,1616070162/79213728,14830970|15455981
163,1616070163/79213729,15312982|15455981
164,1616070164/79213730,15351065
165,1616070165,15471068
166,1616070166,15471068
167,1616070167,15471068|15547003
168,1616070168,15471068
169,1616070169,15471068
170,1616070170,15102173|15331043
171,1616070171,15331043
172,1616070172,15331041
173,1616070173/79213731,15159038
174,1616070174,14481833|14675955|14980086|15157064|15192100
175,1616070175,14481833|14675955|14790551|14980086|15192100
176,1616070176,15331041
177,1616070177/79213732,14938903
178,1616070178/79213733,14938903|15046941|15201035|15452141
179,1616070179,15570047
180,1616070180,15570047
181,1616070181,15547003
182,1616070182/普00871182,14803931|14967373|15016374|15046861|15103999|15133984|15247091
183,1616070183/普00871183,14803927|14934934|15051992|15103999|15133982|15133984|15155026|15203964|15247091
184,1616070184,15589017
185,1616070185,15436256
186,1616070186,15547003
187,1616070187,15436267
188,1616070188,15547004
189,1616070189,15547002
190,1616070190,15436272
191,1616070191,15547004
192,1616070192,15589165
193,1616070193,15589163
194,1616070194,15547003
195,1616070195,15547003
196,1616070196,15547003
197,1616070197,15436271|15547004
198,1616070198,15436253|15436256|15436261|15436265|15436270
199,1616070199/79213734,15242560|15334065|15572978
200,1616070200/79213735,15185963
201,1616070201,15436256
202,1616070202,15436265
203,1616070203,15436269
204,1616070204,15547002
205,1616070205,15547003
206,1616070206,15547002
207,1616070207,15547002
208,1616070208,15436268
209,1616070209,15589017
210,1616070210,15436259
211,1616070211,15471068
212,1616070212,15383026
213,1616070213,15589015
214,1616070214,15589015
215,1616070215,15554042
216,1616070216,15471068
217,1616070217/79213736,15351065|15455982
218,1616070218/88761631,15056894
219,1616070219/79213737,14972011|15242437
220,1616070220,14654729|14671860|14980086
221,1616070221/普00871184,15192101|8519587
222,1616070222/79213738,14921003|15455984
223,1616070223/79213739,15455981
224,1616070224/79213740,15035996|15455981|15455982
225,1616070225/79213741,15035996|15352015|15452141
226,1616070226,14481833|14671860|14675955|14980086|15157064|15192100|15194056
227,1616070227,14481833|14671860|14980086|15157064|15192100
228,1616070228,14671860|14675955|14980086|15192100
229,1616070229/79213742,15455981
230,1616070230/79213743,14979894
231,1616070231/79213744,14830970|14832001
232,1616070232/79213745,15352015|15452141|15455981
233,1616070233/79213746,15201034|15352015
234,1616070234/79213747,14921003|14921004|15201033|15352015|15455982
235,1616070235/79213748,15312000
236,1616070236/79213749,14534724
237,1616070237/79213750,15351065|15455982
238,1616070238/79213751,13420589
239,1616070239,13217588|14654729|14671860|14980086|15192100
240,1616070240/79213752,15246119
241,1616070241/79213753,13420589
242,1616070242/79213754,14491732|14797546
243,1616070243/普00871185,14790349
244,1616070244/普00871186,14803927|15016374|15103999|15133983|15133984|15166058|15247091
245,1616070245/79213845,14925917|14935881
246,1616070246/79213846,14968998|15000909|15070914|15078922|15240969
247,1616070247/79213847,14848877|15083959|15348976
248,1616070248/79213848,14534724|14832001
249,1616070249/79213849,14923917
250,1616070250/79213850,15090312|15348978
251,1616070251,14481833|14980086|15157064|15192100|15194056
252,1616070252/79213851,14843870
253,1616070253/79213852,15455984
254,1616070254/79213853,14251604|15312982
255,1616070255/79213854,14921003|14921004|15201033|15201034|15312982|15352015|15452141|15455984
256,1616070256/79213855,15047904|15078912|15151088|15185961|15242560|15243031|15334066
257,1616070257/79213856,15078912|15104957|15242560
258,1616070258/79213857,15078912|15104957|15242560
259,1616070259/79213858,15046941|15455984
260,1616070260/79213859,15455982
261,1616070261/79213860,14921004|15201033
262,1616070262/79213861,14676836|14972157|15151088|15181053|15240983|15526998|15540004
263,1616070263/79213862,14310766|15047904|15182032
264,1616070264/79213863,13211594|14790218|14988989|15037958|15073879|15084996|15145331|15151088|15185963|15312000|15334065|15520988|15526998
265,1616070265/79213864,14995881|15037958|15129037|15151088|15221956|15240983|15334066|15363007
266,1616070266/79213865,14957869|15056894|15242437|15415026
267,1616070267/79213866,14804253
268,1616070268/79213867,15242560|15253082
269,1616070269/79213868,14310766|15037958|15104957|15204961|15243031|15312000|15372066
270,1616070270,15471973
271,1616070271/79213869,15542965
272,1616070272/79213870,13169588|14813663|15038044|15070934|15151089|15184975|15184976|15184977|15242384|15255114|15569990
273,1616070273,15471068
274,1616070274,15471068
275,1616070275,15245997|15363964
276,1616070276,15471068
277,1616070277,15245997|15363964
278,1616070278,15436255|15436270
279,1616070279,15363964
280,1616070280,15436270
281,1616070281,15471068
282,1616070282,15245997
283,1616070283/79213871,15023910
284,1616070284,15471068|15547003
285,1616070285,15471068
286,1616070286,15471068
287,1616070287,15471068
288,1616070288,15103999|15331041|15336249
289,1616070289,15471973
290,1616070290,15245997|15436264
291,1616070291,15245997
292,1616070292,15245997|15436255
293,1616070293/79213872,15452140|15455982
294,1616070294/79213873,14993040
295,1616070295/79213874,14491732|14797542|14870091|15083961|15445029|15445036
296,1616070296/79213875,14491729|15166002
297,1616070297/79213876,14491729
298,1616070298/88761632,14992909
299,1616070299/88761633,14844938|14992909
300,1616070300/79213877,14844938|15415026
301,1616070301/79213878,15415026
302,1616070302/79213879,14844938|15180967|15331059
303,1616070303/79213880,15242437|15415026
304,1616070304/79213881,15052862|15185071|15192200|15242090|15313288|15331110|15623037
305,1616070305,15331043
306,1616070306,15331043
307,1616070307,14481833|14790551|14980086|15192100|15194056
308,1616070308,14481833|14790551|14980086|15157064|15192100|15194056
309,1616070309,14481833|14675955|14790551|14980086|15157064|15192100|15194056
310,1616070310,13217588|14481833|14790551|14980086|15157064|15192100|15194056|8768587
311,1616070311,14481833|14980086
312,1616070312/79213882,15201035
313,1616070313/79213883,14921004|15046941
314,1616070314/79213884,15569991
315,1616070315/79213885,15569991
316,1616070316/79213886,15159038
317,1616070317/79213887,15455982
318,1616070318/79213888,15455981
319,1616070319/79213889,15159038|15312982
320,1616070320/79213890,14921003
321,1616070321/79213891,14797546|15083959|15348976
322,1616070322/79213892,14843870
323,1616070323,15539985
324,1616070324,15539983|15539984|15539985
325,1616070325,15539985
326,1616070326/79213893,13211594|15071315|15104957|15116000|15151088|15185963|15242188|15334065|15334066|15363007
327,1616070327/79213894,14526773
328,1616070328/79213895,14921003
329,1616070329/79213896,15312982
330,1616070330/79213897,14788977|14843870
331,1616070331/79213898,14843869|14846195
332,1616070332/79213899,15452140
333,1616070333/79213900,15452141|15455982
334,1616070334/79213901,15352015
335,1616070335/79213902,15242494|15562962|15578026
336,1616070336,13217588|14481833|14675955|14731963|14980086|15157064|15192100|15194056|8768587
337,1616070337,15539985
338,1616070338/79213903,14534724|15158046
339,1616070339/79213904,14310766|15037958|15104957|15151088|15182032|15240983|15312000|6642591
340,1616070340/79213918,15037958|15046030|15240983|15242560
341,1616070341/79213906,15242560
342,1616070342,15245997|15471068|15471069|15570048
343,1616070343,15471068|15471069|15570048
344,1616070344,15471068|15570048
345,1616070345,15471069|15570048
346,1616070346,15570048
347,1616070347/79213907,15037958|15181053|15182032|15185962|15185963|15240983|15242187|15242188|15242560|15363007|15540004
348,1616070348/79213908,15151088|15242187|15334066|6642591
349,1616070349/79213909,15569991
350,1616070350/79213910,15037958|15240983
351,1616070351/79213911,15455982
352,1616070352/79213912,14967876
353,1616070353/79213913,15035996|15455982
354,1616070354/79213914,15455981
355,1616070355/79213919,14925917|14935885|15011907|15049889|15313288|15489018
356,1616070356/79213955,14935881|14935882
357,1616070357,15331043
358,1616070358,15331043
359,1616070359,13217588|14980086|15192100|15194056
360,1616070360,14481833|14980086|15194056
361,1616070361/88761634,15585052
362,1616070362/79213920,15157064
363,1616070363/88761635,15192057|15436226
364,1616070364/88761636,15182005|15469965|15487025|15512018|15542965
365,1616070365/79213921,15002577|15348978
366,1616070366/79213922,15192057
367,1616070367,15102173
368,1616070368,15331043
369,1616070369/79213923,14921003|15455984
370,1616070370/88761637,14848877|15192057|15584965|15585052
371,1616070371/79213999,14973149|15331110
372,1616070372/79213924,15118971|15205995|15217056
373,1616070373/79213925,15352015|15455982
374,1616070374/79213926,15455982
375,1616070375/79213927,15037958|15253082|15334065
376,1616070376/79213928,14972011
377,1616070377/79213929,14844938|14972011|15389959
378,1616070378/79213930,15598972
379,1616070379/79213931,14972011
380,1616070380/79213932,14931950|14957868|14957869|15318063
381,1616070381/79213933,14844938|15056894|15182028|15389959|15415026
382,1616070382/79213934,14844938|15242494
383,1616070383/79213935,15145171|15151285|15364983
384,1616070384/79213936,14988989|15047904|15330987|15334065
385,1616070385/79213937,14988989|15046030|15242187|15242560
386,1616070386/79213938,15064921|15405075
387,1616070387/79213939,15141113|15405075
388,1616070388/79213940,14988989|15243031
389,1616070389/79213941,14197589|14270748
390,1616070390/79213942,14921004
391,1616070391/79213943,14310766|15002037|15037958|15046030|15071315|15071960|15151088|15185963|15192099
392,1616070392/79213944,14988989|15185960|6642591|9325588
393,1616070393/79213945,15243031
394,1616070394,15102173|15331043
395,1616070395,15102173
396,1616070396/79213946,15140964|15166003|15182005|15315988
397,1616070397/79213947,14988989|15078912|15151088|15192099|15330987
398,1616070398/88761638,14988989|15002037|15242560|15271976
399,1616070399/79213948,14251604|15201033|15312982|15352015|15452141|15455982
400,1616070400/79213949,15112975|15410962
401,1616070401/79213950,15141113|15151285
402,1616070402/79213951,15243031
403,1616070403/79213952,15452141
404,1616070404/79213956,14863929|15199048
405,1616070405/79213957,15035996
406,1616070406/79213958,15141113|15145171|15405075
407,1616070407/79213959,14310766|15181053|15240983|15242560|3397439
408,1616070408/79213960,15542007
409,1616070409/79213961,13211594|14310766|14526773|14676836|15151088|15182032|15540004
410,1616070410,14671860|14980086|15157064|15194056
411,1616070411,13217588|14671860|14675955|14790551|14980086|15157064|15194056
412,1616070412/79213962,15046941|15455982
413,1616070413/79213963,15201035|15352015
414,1616070414,14671860|14980086|15194056
415,1616070415,13217588|14671860|14675955|15157064|15192100|15194056
416,1616070416,13217588|14671860|14675955|14980086|15192100|15192101|15194058
417,1616070417,13217588|14671860|14675955|14980086|15157064|15192100|15194056|15539983|8768587
418,1616070418,14671860|14675955|14790551|14980086|15192100|15192101|15194056
419,1616070419,14671860|14675955|15157064|15192100|15194056|8768587
420,1616070420,15102173|15331043
421,1616070421/79213964,15151177|15554003|15554004|15623037
422,1616070422/79213965,14982989|14989886|15130030|15162957|15166094
423,1616070423/79213966,15623037|15625971
424,1616070424/79213967,15077943|15162957|15305978
425,1616070425/79213968,15201035
426,1616070426,15336249
427,1616070427,15336249
428,1616070428,15336249
429,1616070429,15336249
430,1616070430/79213969,15201033|15455981|15455982
431,1616070431/79213970,15201033|15352015|15452141
432,1616070432/79213971,14921004|15455981|15455982
433,1616070433/79213972,15274998
434,1616070434/79213973,15073880|15206971|15312000
435,1616070435/79213974,14310766|15073880|15083976|15181053|15182032|15185962|15185963|15192099|15206971|15242560|15243031|15334065|15334066|15372066|15387055|15387977
436,1616070436/79213975,15538989
437,1616070437,15539983|15539985
438,1616070438,15539985
439,1616070439,15539983|15539985
440,1616070440/79213976,14310766|15240983|15242560
441,1616070441/79213977,14993040
442,1616070442/79213978,15047904
443,1616070443/79213979,14988989|15078912|15116000|15182032|15192099|15242560|15334065|15372066
444,1616070444/79213980,15078912
445,1616070445/79213981,15182032|15242560|15330987
446,1616070446/79213982,14957868|14957869|15318063|15598972
447,1616070447/79213983,15415026
448,1616070448/79213984,14803086|15035996
449,1616070449/79213985,15352015|15455981
450,1616070450/79213986,14921004|15201033|15455984
451,1616070451/79213987,15455984
452,1616070452/79213988,14921003|15455982
453,1616070453/79213989,15104957
454,1616070454/79213990,14863927|14863929|14864861
455,1616070455/79213991,15109062
456,1616070456/79213992,15137074|15137096|15579965|15588008|15588010
457,1616070457/79213993,15145171|15364983
458,1616070458/79213994,15532001
459,1616070459/79213995,15145331
460,1616070460,15471068|15471069|15570047|15570048|15589013
461,1616070461,15471973
462,1616070462/79214000,15372066
463,1616070463,15331043
464,1616070464,15102173
465,1616070465,15102173|15331043
466,1616070466,15336249
467,1616070467,13217588|14481833|14671860
468,1616070468,13217588|14481833|15157064|15192100|15194060
469,1616070469,14191598|14787198|14788975|14843868|14890070|14935101|15058062|15156064|15182005|15182010|15193972|15193973|15220964|15297003|15315988|15348977|15348978|15512018|15553979|15587004
470,1616070470,14972945|15058062|15090312|15140961|15220962|15242274|15254978|15275026|15297002|15553979|15587004
471,1616070471/88761151,14491732|14787198|15587006
472,1616070472,13217588|14481833|15157064|15194060
473,1616070473,13217588|14481833|14675955|14790551|15157064|15192100|15194060
474,1616070474,14481833|14671860|14675955|14790551|15157064|15192100
475,1616070475,14481833|15157064|15192100
476,1616070476,15245997|15471068|15471069
477,1616070477,15570048
478,1616070478,15436256|15471068|15471069|15570048
479,1616070479,15245997|15471068|15471069|15547003|15570050
480,1616070480,15570048|15570050
481,1616070481,15554042
482,1616070482,15436256|15570050
483,1616070483,15570050
484,1616070484,15570050
485,1616070485,15570050
486,1616070486,15471068
487,1616070487,15245997|15471068
488,1616070488,15554042
489,1616070489,15471068
490,1616070490,15471068|15547003
491,1616070491,15471069
492,1616070492,15471069
493,1616070493,15245997|15471069
494,1616070494,15436269|15436270|15436271|15471068|15570048
495,1616070495,15471068|15547003|15570048
496,1616070496,15554042
497,1616070497,15245997|15436270|15471069
498,1616070498,15436269|15471068|15471069|15570050
499,1616070499,15554042
500,1616070500,15554042
501,1616070501,15436264|15471069
502,1616070502,15570050
503,1616070503,15471068|15547003|15570048
504,1616070504,15554042
505,1616070505,15570048
506,1616070506,15471069|15547003
507,1616070507,15570049
508,1616070508,15547003
509,1616070509,15589014
510,1616070510,15589017
511,1616070511,15436256
512,1616070512,15547004
513,1616070513,15436269
514,1616070514,15436263
515,1616070515,15436269|15589017
516,1616070516,15436271
517,1616070517,15436253|15436270
518,1616070518/88761152,14972011|15553981
519,1616070519/88761153,14804260
520,1616070520/88761154,14270748|15073879|15181053|15192099|15240983|15334065|15334066
521,1616070521/88761155,15104957|15165018|15181053|15185962|15242187|15242188|15363007
522,1616070522/88761156,15047904|15182032|15185961|15185962|15242187|15540004
523,1616070523/88761157,14310766|14526773|14676836|15047904|15242187|15526998|15540004
524,1616070524/88761158,15073880|15204961|15312000|15542007
525,1616070525,15539983
526,1616070526,15539983
527,1616070527,15539983
528,1616070528,15539983
529,1616070529,15539983
530,1616070530,15539983
531,1616070531/88761159,14921004
532,1616070532/88761160,15078912|15242560
533,1616070533/88761544,15460968|15553982|15632990
534,1616070534/88761161,14921003
535,1616070535,14717889|14972945|15058062|15140961|15166003|15193972|15193975|15242276|15275026|15297002|15348976|15348977|15388062|15510006|15553979|15587004
536,1616070536/88761795,15201033|15352015
537,1616070537,14972945|15058062|15090312|15140961|15140963|15156064|15182005|15193972|15220963|15275026|15297002|15297003|15348977|15553979|15587004
538,1616070538,14191598|14798851|14890070|14972945|15058062|15090312|15140959|15140961|15140963|15168074|15192057|15193972|15193973|15220962|15220964|15242273|15242276|15275026|15315988|15348977|15348978|15388062|15487025|15512018|15553979|15587004
539,1616070539,14191598|14717885|14791904|14846195|14890070|14935101|14972945|15058062|15140234|15166003|15182009|15192057|15193972|15193973|15193974|15220962|15242276|15254978|15275026|15297002|15315988|15348976|15348977|15348979|15444222|15487025|15512018|15542965|15553979|15575000|15587004|3415362
540,1616070540/88761162,14804260|14844938|15078018|15415026
541,1616070541/88761163,14813741|15071960|15078912|15083976|15242560|15243031|15271976|9325588
542,1616070542/88761164,15047904|15104957
543,1616070543/88761165,15037958|15046030
544,1616070544/88761166,14526773|15078912|15206971|15334065|15540004
545,1616070545/88761167,14526773|15151088|15181053|15192099|15334065|15334066
546,1616070546/88761168,15046030|15047904|15182032
547,1616070547/88761436,15089999|15181053|15240983|15242560
548,1616070548/88761169,14310766|14816941|15083976|15104957|15151088|15192099|15242560|15363007|6642591
549,1616070549/88761170,14141594|14787198
550,1616070550/88761171,13211594|14806983|15046030|15078912|15104957|15206971|15272968|15372066
551,1616070551/88761172,13169588|14291730|15004903|15016463|15038044|15083367|15181960|15181961|15184975|15206970|15452085|15569990
552,1616070552/88761173,13169588|15038044|15072864|15083367|15151960|15156970|15180002|15181960|15181961|15184975|15184976|15206970|15242384|15358059|15499967|15510025|15630985
553,1616070553/88761174,14935884|14989885|14993930
554,1616070554/88761175,14935884|15185071|15305978|15335985|15394013|15498994|15633963
555,1616070555/88761176,15199048
556,1616070556/88761177,15199051
557,1616070557/88761178,14804253|14957868|14957869|15052017|15078018
558,1616070558/88761179,15078018
559,1616070559/88761180,14993930|15035991|15065888|15242090|15331110
560,1616070560/88761181,15104085
561,1616070561/88761182,15104085
562,1616070562/88761183,15594966
563,1616070563/88761184,15594966|15594967
564,1616070564/88761185,15594966
565,1616070565/88761186,15594966|15594969
566,1616070566/88761187,15594968|15594969
567,1616070567/88761188,15594968
568,1616070568/88761189,15594968
569,1616070569/88761190,14787198|15444273
570,1616070570/88761191,15520988|15522976
571,1616070571/88761192,15243031
572,1616070572/88761193,15243031|15312000
573,1616070573/88761215,15070914|15162957|15163960|15394014|15394015
574,1616070574/88761216,15551006|15569988|15589174|15623037|15625971
575,1616070575/88761751,15331110
576,1616070576/88761752,14925917|14935882|14935885
577,1616070577/88761753,14925917|14935882|14935885
578,1616070578/88761217,15035996
579,1616070579/88761218,15274998
580,1616070580/88761219,15073880|15104957|15116000
581,1616070581/88761545,15236972|15554003|15574054|15589174
582,1616070582/88761220,14935885|14982988|15035991|15065888|15313288|15331110
583,1616070583,15058062|15140961|15140963|15348976|15553979
584,1616070584/88761221,14921003|15046941
585,1616070585/88761222,14534724|15104076
586,1616070586/88761223,15035996
587,1616070587/88761224,15166003
588,1616070588/88761225,14846195
589,1616070589/88761226,14797542
590,1616070590/88761227,14797542
591,1616070591/88761228,14797542
592,1616070592/88761639,14797542
593,1616070593/88761229,15202083|15202993|15202994
594,1616070594/88761230,14797542
595,1616070595/88761231,15166002|15166003
596,1616070596/88761232,15140961|15182005
597,1616070597/88761233,14672910
598,1616070598/88761234,15630989|15630990
599,1616070599/88761235,15226030|15308960|15487055|15630989
600,1616070600/88761236,15226030
601,1616070601/88761237,15226030
602,1616070602/88761238,15226030
603,1616070603/88761239,15226030
604,1616070604,15058062|15140234|15140961|15166003|15193972|15242278|15254978|15275026|15348977|15487025|15512018|15553979
605,1616070605,14481833|14790551|15157064|15192100|15194056
606,1616070606,14481833|15157064|15192100|15194056
607,1616070607,15102173|15331043
608,1616070608,15331043
609,1616070609/88761240,14921903|14925917|14968998|14982987|15000909|15015900|15077943|15090322|15151177|15162957|15240969|15305978
610,1616070610/88761241,15629976
611,1616070611/88761242,15406017
612,1616070612/88761243,15406015|15406016|15597989
613,1616070613/88761244,14310766|14972157|15116000|15151088|15181053|15192099|15271976
614,1616070614/88761245,15064921|15373194
615,1616070615/88761246,15325005
616,1616070616/88761247,15078912|15083976|15151088|15242187|15271976|15330987|15526998|9325588
617,1616070617/88761248,15037958|15046030|15240983
618,1616070618/88761249,14941041
619,1616070619/88761250,15046941
620,1616070620/88761251,14310766|15046030|15182032|15185963|15192099|15242560|15372066
621,1616070621/88761252,15201035|15455984
622,1616070622/88761640,13211594|14526773|15046030|15145331|15240983
623,1616070623/88761253,15581973|15631973
624,1616070624/88761254,14844938
625,1616070625/88761255,15056894|15581973|15631973
626,1616070626/88761256,15631973
627,1616070627/88761257,14844938
628,1616070628/88761258,15631973
629,1616070629/88761259,15052017|15078018
630,1616070630/88761260,15078912|15242560
631,1616070631/88761261,15192057
632,1616070632/88761262-4,14291730|14387743|15016463|15083367|15181960|15181961|15184975|15352012|15352013
633,1616070633/88761265,14972011|15242437
634,1616070634/88761266,14786924|14979894|15452141|15455981|15455982
635,1616070635/88761267,15046941
636,1616070636/88761268,15201034
637,1616070637/88761269,15225016|15225018
638,1616070638/88761270,15206971|15312000
639,1616070639/88761271,14310766|15047904|15151088|15185963|15192099|15243031
640,1616070640/88761272,13211594|14816941|15240983|15330987|6642591
641,1616070641/88761273,15078912|15362988|15362989|15393975|15408974|6642591
642,1616070642/88761274,14197589|15037958|15240983
643,1616070643/88761401,15201034|15452141
644,1616070644/普00871189,15332050|15436253
645,1616070645/普00871189,14819950
646,1616070646/普00871189,14980182
647,1616070647/普00871189,14790349|15198984
648,1616070648/普00871189,14980184
649,1616070649/普00871189,14790350
650,1616070650/普00871189,14819946
651,1616070651/普00871189,14980184
652,1616070652/普00871189,14803927|14813315|14998948
653,1616070653/普00871189,14980184
654,1616070654/普00871189,14803927
655,1616070655/普00871189,14980184
656,1616070656/普00871189,14980184
657,1616070657/普00871189,14980182
658,1616070658/普00871189,15005995
659,1616070659/普00871189,14980184
660,1616070660/普00871189,14980182
661,1616070661/普00871189,14819946
662,1616070662/普00871189,14980184
663,1616070663/普00871189,14980184
664,1616070664/普00871189,14787606
665,1616070665/普00871189,14934934
666,1616070666/普00871189,14980181
667,1616070667/普00871189,14980184
668,1616070668/普00871189,14790349
669,1616070669/普00871189,14819946
670,1616070670/普00871189,14819946
671,1616070671/普00871189,14819946
672,1616070672/普00871189,14819946
673,1616070673/普00871189,14819959
674,1616070674/普00871189,14980184
675,1616070675/普00871189,14819946
676,1616070676/普00871189,14819946
677,1616070677/普00871189,14819946
678,1616070678/普00871189,14819946
679,1616070679/普00871189,14819946
680,1616070680/普00871189,14819946
681,1616070681/普00871189,14819946
682,1616070682/普00871189,15228081
